Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,USG%,_key,Salary_Millions,Expected_PER,Efficiency_Surplus,Surplus_Rank,PER_Rank,Salary_Rank,PVI,Salary_Tier,Value_Label,Player_display
58,Lauri Markkanen,27,UTA,PF,47,47,31.4,6.3,14.9,0.423,2.9,8.5,0.346,3.4,6.4,0.525,0.521,3.4,3.9,0.876,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0,15.6,24.0,lauri markkanen,42.1764,19.781963832158944,-4.18,181,88,15,0.9389137052949043,Superstar (>=25M),WAY Overpaid,Lauri Markkanen
60,Cameron Johnson,28,BRK,PF,57,57,31.6,6.2,13.1,0.475,2.8,7.2,0.39,3.4,5.9,0.578,0.582,3.5,3.9,0.893,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8,18.2,22.9,cameron johnson,22.5,16.41478572807923,1.79,50,50,60,1.8266666666666664,Star (15-25M),Undervalued,Cameron Johnson
61,Julius Randle,30,MIN,PF,69,69,32.3,6.6,13.6,0.485,1.6,4.6,0.344,5.0,9.1,0.555,0.542,3.9,4.9,0.806,2.1,5.0,7.1,4.7,0.7,0.2,2.8,2.5,18.7,17.5,25.0,julius randle,33.07392,18.211977966202795,-0.71,111,65,36,1.2850003870118811,Superstar (>=25M),Fair Value,Julius Randle
62,Tyrese Haliburton,24,IND,PG,73,73,33.6,6.5,13.8,0.473,3.0,7.7,0.388,3.5,6.1,0.581,0.582,2.6,3.0,0.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6,21.8,21.6,tyrese haliburton,42.1764,19.781963832158944,2.02,47,14,15,1.0290114850959304,Superstar (>=25M),Undervalued,Tyrese Haliburton
63,Evan Mobley,23,CLE,PF,71,71,30.5,7.1,12.8,0.557,1.2,3.2,0.37,5.9,9.5,0.621,0.604,3.1,4.3,0.725,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.5,22.3,23.2,evan mobley,11.227657,14.530353827866247,7.77,9,10,102,4.052492875405795,Role Player (5-15M),STEAL,Evan Mobley
64,Shaedon Sharpe,21,POR,SG,72,52,31.3,6.9,15.3,0.452,2.0,6.6,0.311,4.9,8.8,0.557,0.519,2.6,3.4,0.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5,14.5,25.1,shaedon sharpe,6.61416,13.76846657395332,0.73,71,105,131,5.9871548314525205,Role Player (5-15M),Fair Value,Shaedon Sharpe
65,Nikola Vucevic,34,CHI,C,73,72,31.2,7.5,14.2,0.53,1.8,4.4,0.402,5.8,9.8,0.587,0.592,1.6,2.0,0.805,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,18.5,20.3,22.4,nikola vucevic,20.0,15.994050736684642,4.31,23,24,64,2.1350000000000002,Star (15-25M),STEAL,Nikola Vucevic
66,Collin Sexton,26,UTA,SG,63,61,27.9,6.6,13.8,0.48,1.7,4.3,0.406,4.9,9.5,0.513,0.543,3.4,4.0,0.865,1.0,1.8,2.7,4.2,0.7,0.1,2.5,2.3,18.4,16.6,27.0,collin sexton,18.35,15.717240632984891,0.88,67,72,71,2.3760217983651226,Star (15-25M),Fair Value,Collin Sexton
67,Michael Porter Jr.,26,DEN,SF,77,77,33.7,6.9,13.6,0.504,2.5,6.4,0.395,4.4,7.3,0.599,0.596,1.9,2.5,0.768,1.8,5.2,7.0,2.1,0.6,0.5,1.4,2.0,18.2,16.2,20.2,michael porter jr,35.85995,18.69026070202665,-2.49,155,78,25,1.0150599763803352,Superstar (>=25M),Overpaid,Michael Porter Jr.
68,Bam Adebayo,27,MIA,C,78,78,34.3,6.9,14.3,0.485,1.0,2.8,0.357,5.9,11.4,0.517,0.521,3.2,4.2,0.765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,18.1,18.9,23.5,bam adebayo,34.84834,18.51636643800745,0.38,81,44,30,1.2167007094168616,Superstar (>=25M),Fair Value,Bam Adebayo
70,OG Anunoby,27,NYK,PF,74,74,36.6,6.6,13.9,0.476,2.3,6.2,0.372,4.3,7.7,0.561,0.559,2.5,3.1,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18.0,15.4,19.7,og anunoby,36.637932,18.824172565884677,-3.42,171,92,23,0.9580235041650277,Superstar (>=25M),Overpaid,OG Anunoby
71,Mikal Bridges,28,NYK,SF,82,82,37.0,7.2,14.4,0.5,2.0,5.6,0.354,5.2,8.8,0.594,0.57,1.2,1.4,0.814,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.6,14.0,19.6,mikal bridges,23.3,16.549758271106963,-2.55,157,114,55,1.44206008583691,Star (15-25M),Overpaid,Mikal Bridges
75,Malik Monk,26,SAC,SG,65,45,31.6,6.3,14.4,0.439,2.1,6.6,0.325,4.2,7.9,0.534,0.513,2.4,2.7,0.865,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,17.2,15.0,24.6,malik monk,17.405203,15.559051259251703,-0.56,106,97,75,2.275181737323029,Star (15-25M),Fair Value,Malik Monk
78,Bradley Beal,31,PHX,SG,53,38,32.1,6.5,13.1,0.497,1.9,5.0,0.386,4.6,8.1,0.565,0.571,2.1,2.6,0.803,0.6,2.7,3.3,3.7,1.1,0.5,1.9,2.6,17.0,15.2,22.1,bradley beal,50.20393,21.184115073311503,-5.98,191,94,4,0.7429697236849784,Superstar (>=25M),WAY Overpaid,Bradley Beal
79,Deni Avdija,24,POR,SF,72,54,30.0,5.6,11.7,0.476,1.7,4.8,0.365,3.8,7.0,0.552,0.55,4.0,5.2,0.78,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9,17.7,23.2,deni avdija,15.625,15.261607959540768,2.44,41,58,80,2.6176,Star (15-25M),Undervalued,Deni Avdija
80,Keyonte George,21,UTA,PG,67,35,31.5,5.4,13.7,0.391,2.6,7.6,0.343,2.8,6.1,0.449,0.485,3.5,4.3,0.818,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8,12.9,24.3,keyonte george,4.0842,13.352970474759456,-0.45,99,135,158,9.108270897605406,Minimum/Vet (<5M),Fair Value,Keyonte George
81,Ivica Zubac,27,LAC,C,80,80,32.8,7.4,11.8,0.628,0.0,0.0,,7.4,11.8,0.628,0.628,2.0,3.0,0.661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8,22.3,19.5,ivica zubac,11.74321,14.615831749802727,7.68,10,10,99,3.559503747271828,Role Player (5-15M),STEAL,Ivica Zubac
82,Derrick White,30,BOS,SG,76,76,33.9,5.6,12.6,0.442,3.5,9.1,0.384,2.1,3.5,0.593,0.58,1.8,2.1,0.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,16.6,19.8,derrick white,20.071429,16.00604964208486,0.59,74,72,63,1.8135230929496853,Star (15-25M),Fair Value,Derrick White
83,Malik Beasley,28,DET,SG,82,18,27.8,5.6,13.1,0.43,3.9,9.3,0.416,1.7,3.7,0.466,0.579,1.2,1.7,0.679,0.6,2.0,2.6,1.7,0.9,0.1,1.0,1.5,16.3,14.4,22.5,malik beasley,6.0,13.667452540753258,0.73,71,108,135,6.1499999999999995,Role Player (5-15M),Fair Value,Malik Beasley
84,Devin Vassell,24,SAS,SG,64,53,31.0,6.2,13.9,0.443,2.5,6.7,0.368,3.7,7.2,0.513,0.532,1.5,1.9,0.792,0.5,3.5,4.0,2.9,1.3,0.5,1.4,1.7,16.3,14.2,22.1,devin vassell,29.347826,17.575413382828874,-3.38,168,112,41,1.2368888925537447,Superstar (>=25M),Overpaid,Devin Vassell
86,Paul George,34,PHI,PF,41,41,32.5,6.0,13.9,0.43,2.3,6.5,0.358,3.6,7.4,0.493,0.514,1.9,2.4,0.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,14.5,23.5,paul george,49.2058,21.008877318118643,-6.51,193,105,5,0.7722666840087956,Superstar (>=25M),WAY Overpaid,Paul George
88,Bennedict Mathurin,22,IND,SF,72,49,29.8,5.4,11.8,0.458,1.4,4.0,0.34,4.1,7.8,0.519,0.516,3.8,4.6,0.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,13.6,22.8,bennedict mathurin,7.24572,13.872443006540445,-0.27,97,121,126,5.023655344120391,Role Player (5-15M),Fair Value,Bennedict Mathurin
89,Myles Turner,28,IND,C,72,72,30.2,5.4,11.3,0.481,2.2,5.5,0.396,3.3,5.8,0.561,0.577,2.6,3.3,0.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,16.1,20.7,myles turner,19.9285,15.982041210307425,0.12,88,79,66,1.8466016007225832,Star (15-25M),Fair Value,Myles Turner
90,Christian Braun,23,DEN,SG,79,77,33.9,6.0,10.4,0.58,1.1,2.8,0.397,4.9,7.6,0.648,0.634,2.2,2.7,0.827,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,15.4,16.0,15.8,christian braun,3.08964,13.190081505822626,2.81,37,81,168,10.292461257622247,Minimum/Vet (<5M),Undervalued,Christian Braun
91,Jonathan Kuminga,22,GSW,PF,47,10,24.3,5.5,12.1,0.454,1.0,3.2,0.305,4.5,8.9,0.508,0.495,3.3,5.0,0.668,1.2,3.4,4.6,2.2,0.8,0.4,1.5,1.9,15.3,15.7,27.4,jonathan kuminga,7.636307,13.936798035754146,1.76,52,86,124,5.644089479377923,Role Player (5-15M),Undervalued,Jonathan Kuminga
93,Mark Williams,23,CHO,C,44,41,26.6,6.1,10.2,0.604,0.0,0.1,0.0,6.1,10.1,0.609,0.604,3.0,3.7,0.804,3.0,7.2,10.2,2.5,0.7,1.2,1.6,2.4,15.3,23.9,21.4,mark williams,4.09428,13.354622670495724,10.55,3,6,157,11.064216419004072,Minimum/Vet (<5M),STEAL,Mark Williams
94,Kelly Oubre Jr.,29,PHI,SF,60,57,34.6,5.8,12.4,0.47,1.2,4.0,0.293,4.6,8.3,0.555,0.518,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,13.5,18.9,kelly oubre jr,7.983,13.993953536769832,-0.49,104,125,123,4.058624577226607,Role Player (5-15M),Fair Value,Kelly Oubre Jr.
97,Stephon Castle,20,SAS,PG,81,47,26.7,5.2,12.2,0.428,1.2,4.1,0.285,4.0,8.1,0.501,0.476,3.1,4.2,0.724,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2.0,14.7,13.7,26.0,stephon castle,9.10512,14.179155855554324,-0.48,103,118,116,4.3601841601209,Role Player (5-15M),Fair Value,Stephon Castle
98,Aaron Gordon,29,DEN,PF,51,42,28.4,5.2,9.7,0.531,1.5,3.4,0.436,3.7,6.4,0.582,0.607,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,17.0,19.0,aaron gordon,22.841455,16.472374532956444,0.53,75,70,58,1.5760817338475155,Star (15-25M),Fair Value,Aaron Gordon
99,P.J. Washington,26,DAL,PF,57,56,32.2,5.3,11.7,0.453,1.6,4.2,0.381,3.7,7.5,0.493,0.521,2.5,3.5,0.722,1.4,6.3,7.8,2.3,1.1,1.1,2.1,2.3,14.7,14.0,20.4,pj washington,15.5,15.240752900703242,-1.24,124,114,82,2.2193548387096773,Star (15-25M),Fair Value,P.J. Washington
101,Josh Giddey,22,CHI,PG,70,69,30.2,5.3,11.4,0.465,1.5,4.0,0.378,3.8,7.4,0.512,0.531,2.5,3.2,0.781,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,14.6,18.1,21.7,josh giddey,8.352367,14.054880850405159,4.05,25,52,122,4.765116283803143,Role Player (5-15M),STEAL,Josh Giddey
102,Jakob Poeltl,29,TOR,C,57,56,29.6,6.4,10.2,0.627,0.0,0.1,0.333,6.4,10.1,0.628,0.628,1.7,2.5,0.674,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5,20.0,18.7,jakob poeltl,19.5,15.910095412145193,4.09,24,28,67,1.9846153846153847,Star (15-25M),STEAL,Jakob Poeltl
103,Deandre Ayton,26,POR,C,40,40,30.2,6.6,11.7,0.566,0.2,0.8,0.188,6.5,10.9,0.594,0.573,1.0,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,17.7,19.4,deandre ayton,34.005126,18.371619051081026,-0.67,110,58,33,1.0910119844872799,Superstar (>=25M),Fair Value,Deandre Ayton
104,Gradey Dick,21,TOR,SG,54,54,29.4,4.9,12.0,0.41,2.1,6.0,0.35,2.8,5.9,0.47,0.498,2.5,2.9,0.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4,10.9,21.0,gradey dick,4.76376,13.46441413885835,-2.56,159,171,149,6.696391086032881,Minimum/Vet (<5M),Overpaid,Gradey Dick
105,Jerami Grant,30,POR,PF,47,47,32.4,4.6,12.2,0.373,2.3,6.3,0.365,2.3,5.9,0.381,0.467,3.0,3.5,0.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4,10.9,19.4,jerami grant,29.793104,17.65129784485958,-6.75,196,171,39,1.0170138700552986,Superstar (>=25M),WAY Overpaid,Jerami Grant
106,Payton Pritchard,27,BOS,PG,80,3,28.4,5.1,10.8,0.472,3.2,7.8,0.407,1.9,3.0,0.642,0.62,0.9,1.1,0.845,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,14.3,17.6,19.0,payton pritchard,6.696429,13.782005097966286,3.82,28,64,130,5.465599650201622,Role Player (5-15M),Undervalued,Payton Pritchard
107,Naz Reid,25,MIN,C,80,17,27.5,5.3,11.5,0.462,2.2,5.8,0.379,3.1,5.8,0.544,0.556,1.4,1.8,0.776,1.2,4.9,6.0,2.3,0.7,0.9,1.4,2.4,14.2,15.8,21.5,naz reid,13.986432,14.988545414474395,0.81,70,83,86,2.666870292580695,Role Player (5-15M),Fair Value,Naz Reid
108,Dyson Daniels,21,ATL,SG,76,76,33.8,6.0,12.1,0.493,1.1,3.1,0.34,4.9,9.1,0.545,0.536,1.1,1.8,0.593,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,14.1,15.6,18.2,dyson daniels,6.05952,13.67723788088807,1.92,48,88,134,5.577999577524292,Role Player (5-15M),Undervalued,Dyson Daniels
110,Amen Thompson,22,HOU,SF,69,42,32.2,5.6,10.1,0.557,0.4,1.3,0.275,5.3,8.8,0.599,0.575,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,14.1,18.7,17.5,amen thompson,9.24996,14.203084683443244,4.5,22,46,115,3.9135304368883763,Role Player (5-15M),STEAL,Amen Thompson
111,Fred VanVleet,30,HOU,PG,60,60,35.2,4.8,12.7,0.378,2.7,7.7,0.345,2.1,5.0,0.43,0.483,1.9,2.3,0.81,0.5,3.2,3.7,5.6,1.6,0.4,1.5,2.3,14.1,12.8,17.7,fred vanvleet,42.846615,19.898398738206808,-7.1,199,139,14,0.7118415305386435,Superstar (>=25M),WAY Overpaid,Fred VanVleet
112,Dillon Brooks,29,HOU,SF,75,75,31.8,5.1,11.9,0.429,2.5,6.3,0.397,2.6,5.7,0.465,0.533,1.3,1.6,0.818,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.2,14.0,11.0,17.7,dillon brooks,22.255493,16.373566197884617,-5.37,189,169,62,1.2895692762231776,Star (15-25M),WAY Overpaid,Dillon Brooks
114,Klay Thompson,34,DAL,SF,72,72,27.3,5.0,12.2,0.412,3.0,7.7,0.391,2.0,4.5,0.448,0.535,0.9,1.0,0.905,0.6,2.8,3.4,2.0,0.7,0.4,1.2,1.1,14.0,12.9,21.8,klay thompson,15.873016,15.302998887383357,-2.4,152,135,79,2.1860999825112004,Star (15-25M),Overpaid,Klay Thompson
115,Bobby Portis,29,MIL,PF,49,7,25.4,5.7,12.1,0.466,1.3,3.6,0.365,4.3,8.5,0.508,0.52,1.2,1.5,0.836,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,13.9,17.7,24.1,bobby portis,12.578286,14.754430233774869,2.95,36,58,93,3.323187276867452,Role Player (5-15M),Undervalued,Bobby Portis
116,Tobias Harris,32,DET,PF,73,73,31.6,5.3,11.0,0.477,1.2,3.6,0.345,4.0,7.4,0.542,0.534,2.0,2.3,0.861,0.9,5.0,5.9,2.2,1.0,0.8,1.2,1.9,13.7,13.9,17.6,tobias harris,25.365854,16.899056759052115,-3.0,163,117,49,1.2418269063600225,Superstar (>=25M),Overpaid,Tobias Harris
117,Josh Hart,29,NYK,SG,77,77,37.6,5.2,10.0,0.525,1.1,3.3,0.333,4.2,6.7,0.618,0.579,2.1,2.7,0.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,16.5,15.3,josh hart,18.144,15.682730166794462,0.82,69,75,72,1.7526455026455028,Star (15-25M),Fair Value,Josh Hart
118,Jarrett Allen,26,CLE,C,82,82,28.0,5.5,7.8,0.706,0.0,0.1,0.0,5.5,7.7,0.712,0.706,2.4,3.4,0.718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5,22.1,15.9,jarrett allen,20.0,15.994050736684642,6.11,14,13,64,1.9,Star (15-25M),STEAL,Jarrett Allen
119,Onyeka Okongwu,24,ATL,C,74,40,27.9,5.2,9.2,0.567,0.6,2.0,0.324,4.6,7.2,0.634,0.602,2.2,2.9,0.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,19.0,17.3,onyeka okongwu,14.0,14.990803664479595,4.01,27,42,85,2.5928571428571425,Role Player (5-15M),STEAL,Onyeka Okongwu
120,Russell Westbrook,36,DEN,PG,75,36,27.9,5.0,11.1,0.449,1.3,3.9,0.323,3.7,7.2,0.517,0.505,2.1,3.1,0.661,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,13.3,14.3,23.8,russell westbrook,5.631296,13.606856216582685,0.69,73,110,140,6.765760492788872,Role Player (5-15M),Fair Value,Russell Westbrook
121,Naji Marshall,27,DAL,SF,69,31,27.8,5.2,10.3,0.508,0.9,3.2,0.275,4.4,7.2,0.611,0.551,1.9,2.3,0.813,1.1,3.7,4.8,3.0,1.0,0.2,1.6,1.6,13.2,15.1,20.0,naji marshall,8.571429,14.091031733398594,1.01,64,95,120,4.09499979525001,Role Player (5-15M),Fair Value,Naji Marshall
123,Rui Hachimura,26,LAL,PF,59,57,31.7,5.0,9.8,0.509,1.7,4.2,0.413,3.2,5.6,0.581,0.597,1.5,1.9,0.77,1.3,3.7,5.0,1.4,0.8,0.4,0.8,1.8,13.1,13.6,15.8,rui hachimura,17.0,15.491277158145301,-1.89,144,121,76,1.7294117647058822,Star (15-25M),Overpaid,Rui Hachimura
124,Brook Lopez,36,MIL,C,80,80,31.8,4.9,9.7,0.509,1.7,4.7,0.373,3.2,5.0,0.636,0.599,1.4,1.7,0.826,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,13.0,14.8,15.8,brook lopez,23.0,16.499124400097617,-1.7,137,101,57,1.3304347826086957,Star (15-25M),Overpaid,Brook Lopez
125,Alex Sarr,19,WAS,C,67,67,27.1,4.9,12.4,0.394,1.6,5.1,0.308,3.3,7.3,0.454,0.457,1.7,2.5,0.679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,13.0,12.9,23.5,alex sarr,11.24568,14.533340868683263,-1.63,133,135,101,3.2367984861742465,Role Player (5-15M),Overpaid,Alex Sarr
128,Scoot Henderson,20,POR,PG,66,10,26.7,4.3,10.4,0.419,1.6,4.5,0.354,2.8,5.9,0.469,0.496,2.4,3.1,0.767,0.8,2.2,3.0,5.1,1.0,0.2,2.7,2.7,12.7,12.5,22.5,scoot henderson,10.25916,14.369962124753162,-1.87,143,148,107,3.411585353966602,Role Player (5-15M),Overpaid,Scoot Henderson
129,Keldon Johnson,25,SAS,SF,77,0,23.9,4.8,10.0,0.482,1.1,3.6,0.318,3.7,6.4,0.573,0.538,1.9,2.5,0.773,1.5,3.4,4.8,1.6,0.6,0.3,1.0,1.5,12.7,15.6,21.6,keldon johnson,19.0,15.826203978852234,-0.23,95,88,70,1.9578947368421054,Star (15-25M),Fair Value,Keldon Johnson
131,Zaccharie Risacher,19,ATL,SF,75,73,24.6,4.8,10.4,0.458,1.6,4.6,0.355,3.1,5.8,0.54,0.537,1.4,2.0,0.711,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2.0,12.6,12.2,20.9,zaccharie risacher,12.56904,14.752894689266702,-2.55,157,154,94,2.6334549018859033,Role Player (5-15M),Overpaid,Zaccharie Risacher
132,Santi Aldama,24,MEM,PF,65,16,25.5,4.8,10.0,0.483,1.8,5.0,0.368,3.0,5.0,0.599,0.576,1.0,1.4,0.691,1.4,5.0,6.4,2.9,0.8,0.4,1.1,1.2,12.5,16.8,18.5,santi aldama,3.960531,13.332702211919878,3.47,30,71,159,8.912946269073515,Minimum/Vet (<5M),Undervalued,Santi Aldama
134,Keegan Murray,24,SAC,PF,76,76,34.3,4.8,10.8,0.444,2.0,5.9,0.343,2.8,4.9,0.566,0.538,0.8,0.9,0.833,1.9,4.8,6.7,1.4,0.8,0.9,0.8,2.4,12.4,12.0,15.0,keegan murray,8.80956,14.130343405389528,-2.13,147,156,118,3.0648522741203874,Role Player (5-15M),Overpaid,Keegan Murray
136,Harrison Barnes,32,SAS,PF,82,82,27.2,4.2,8.3,0.508,1.9,4.4,0.433,2.3,3.9,0.591,0.622,2.0,2.4,0.809,1.2,2.6,3.8,1.7,0.5,0.2,0.6,0.9,12.3,14.9,15.7,harrison barnes,18.0,15.658612786005788,-0.76,113,98,73,1.7000000000000002,Star (15-25M),Fair Value,Harrison Barnes
137,Bilal Coulibaly,20,WAS,SF,59,59,33.0,4.5,10.6,0.421,1.1,3.8,0.281,3.4,6.8,0.5,0.472,2.3,3.1,0.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4,12.3,10.8,17.9,bilal coulibaly,6.94524,13.822960982718124,-3.02,164,174,129,4.132326600664627,Role Player (5-15M),Overpaid,Bilal Coulibaly
138,Ayo Dosunmu,25,CHI,SG,46,26,30.3,4.8,9.8,0.492,1.3,4.1,0.328,3.5,5.7,0.612,0.561,1.3,1.7,0.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3,12.8,16.6,ayo dosunmu,7.0,13.831976953768192,-1.03,121,139,128,4.2,Role Player (5-15M),Fair Value,Ayo Dosunmu
139,Daniel Gafford,26,DAL,C,57,31,21.5,5.0,7.1,0.702,0.0,0.0,,5.0,7.1,0.702,0.702,2.4,3.4,0.689,2.7,4.1,6.8,1.4,0.4,1.8,1.2,2.7,12.3,24.7,19.5,daniel gafford,13.39416,14.890013859470706,9.81,4,4,88,3.299945647954034,Role Player (5-15M),STEAL,Daniel Gafford
140,Jaden McDaniels,24,MIN,PF,82,82,31.9,4.9,10.2,0.477,1.2,3.7,0.33,3.6,6.5,0.561,0.537,1.3,1.6,0.813,1.6,4.2,5.7,2.0,1.3,0.9,1.2,2.7,12.2,13.3,16.3,jaden mcdaniels,23.017242,16.502033874464388,-3.2,165,131,56,1.2859924746848472,Star (15-25M),Overpaid,Jaden McDaniels
141,Jabari Smith Jr.,21,HOU,PF,57,39,30.1,4.4,9.9,0.438,1.7,4.9,0.354,2.6,5.1,0.519,0.525,1.8,2.2,0.825,1.8,5.2,7.0,1.1,0.4,0.7,1.1,2.2,12.2,12.6,16.4,jabari smith jr,9.77088,14.28918951461171,-1.69,136,144,110,2.968002882033143,Role Player (5-15M),Overpaid,Jabari Smith Jr.
144,Tari Eason,23,HOU,PF,57,16,24.9,4.8,9.8,0.487,1.1,3.2,0.342,3.7,6.6,0.557,0.543,1.4,1.8,0.76,2.2,4.1,6.4,1.5,1.7,0.9,1.1,2.4,12.0,18.5,19.4,tari eason,3.69516,13.289223428191706,5.21,17,47,161,10.25666006343433,Minimum/Vet (<5M),STEAL,Tari Eason
145,Rudy Gobert,32,MIN,C,72,72,33.2,4.7,7.1,0.669,0.0,0.0,,4.7,7.1,0.669,0.669,2.6,3.8,0.674,3.7,7.2,10.9,1.8,0.8,1.4,1.2,2.5,12.0,18.3,13.0,rudy gobert,43.827586,20.06902754503626,-1.77,139,48,12,0.7141620804759816,Superstar (>=25M),Overpaid,Rudy Gobert
146,Aaron Nesmith,25,IND,SF,45,37,25.0,4.3,8.4,0.507,1.9,4.3,0.431,2.4,4.1,0.587,0.617,1.6,1.8,0.913,0.8,3.1,4.0,1.2,0.8,0.4,0.8,2.5,12.0,14.6,17.4,aaron nesmith,11.0,14.492630255687523,0.11,89,104,103,2.909090909090909,Role Player (5-15M),Fair Value,Aaron Nesmith
147,Aaron Wiggins,26,OKC,SG,76,26,22.9,4.7,9.6,0.488,1.7,4.5,0.383,3.0,5.1,0.578,0.577,1.0,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12.0,16.1,20.3,aaron wiggins,10.514017,14.412145466405985,1.69,54,79,105,3.462045001449018,Role Player (5-15M),Undervalued,Aaron Wiggins
149,Jalen Duren,21,DET,C,78,78,26.1,4.8,7.0,0.692,0.0,0.0,,4.8,7.0,0.692,0.692,2.1,3.1,0.669,3.6,6.8,10.3,2.7,0.7,1.1,1.7,3.2,11.8,21.4,16.4,jalen duren,4.53684,13.427187528351396,7.97,7,18,151,8.331790409183485,Minimum/Vet (<5M),STEAL,Jalen Duren
150,Donte DiVincenzo,28,MIN,SG,62,10,25.9,4.0,9.6,0.422,2.8,7.1,0.397,1.2,2.5,0.49,0.568,0.8,1.0,0.778,0.5,3.2,3.7,3.6,1.2,0.3,1.6,1.8,11.7,14.1,19.4,donte divincenzo,11.445,14.566380692491725,-0.47,100,113,100,2.927042376583661,Role Player (5-15M),Fair Value,Donte DiVincenzo
151,Brandin Podziemski,21,GSW,SG,64,33,26.8,4.4,9.8,0.445,1.8,4.8,0.372,2.6,5.0,0.516,0.537,1.1,1.5,0.758,1.0,4.1,5.1,3.4,1.1,0.2,1.2,1.5,11.7,14.4,18.3,brandin podziemski,3.51996,13.260528259990664,1.14,61,108,164,9.289878294071524,Minimum/Vet (<5M),Fair Value,Brandin Podziemski
152,Corey Kispert,25,WAS,SF,61,0,26.3,4.2,9.3,0.451,2.0,5.4,0.364,2.2,3.9,0.574,0.558,1.2,1.4,0.852,0.6,2.4,3.0,1.7,0.4,0.2,1.0,1.6,11.6,11.0,17.5,corey kispert,5.705887,13.619112408060131,-2.62,161,169,139,4.994841292861215,Role Player (5-15M),Overpaid,Corey Kispert
153,Jeremy Sochan,21,SAS,PF,54,23,25.3,4.6,8.7,0.535,0.5,1.7,0.308,4.1,7.0,0.59,0.565,1.6,2.3,0.696,2.4,4.2,6.5,2.4,0.8,0.5,1.6,2.4,11.4,15.9,19.0,jeremy sochan,5.57004,13.596792188081478,2.3,43,82,141,6.265664160401003,Role Player (5-15M),Undervalued,Jeremy Sochan
154,Toumani Camara,24,POR,PF,78,78,32.7,4.2,9.2,0.458,1.7,4.6,0.375,2.5,4.6,0.542,0.552,1.2,1.6,0.722,2.2,3.6,5.8,2.2,1.5,0.6,1.4,2.9,11.3,12.5,14.4,toumani camara,1.891857,12.994244238400244,-0.49,104,148,194,14.218833664489441,Minimum/Vet (<5M),Fair Value,Toumani Camara
155,Isaiah Hartenstein,26,OKC,C,57,53,27.9,4.9,8.4,0.581,0.0,0.3,0.0,4.9,8.1,0.605,0.581,1.4,2.1,0.675,2.9,7.9,10.7,3.8,0.8,1.1,1.7,3.0,11.2,18.9,16.7,isaiah hartenstein,30.0,17.686574389236473,1.21,60,44,37,1.1866666666666665,Superstar (>=25M),Fair Value,Isaiah Hartenstein
